"ID","run","bio_project","bio_sample","avg_spot_len","bases","bytes","center_name","experiment","instrument","library_name","library_layout","library_selection","library_source","organism","platform","release_date","create_date","version","sample_name","sra_study","bio_sample_model","collection_date","geo_loc_name_country","geo_loc_name_country_continent","geo_loc_name","host","isolate","serotype","source_file_fasta"
20,"SRR28752465","PRJNA1102327","SAMN41019220",468,"117.10 M","36.67 Mb","USDA-NVSL","SRX24318179","Illumina MiSeq","24-009027-010-original-repeat","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009027-010-original-repeat","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-010-original-repeat","H5N1","https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=run_browser&acc=SRR28752465&display=metadata"
21,"SRR28752466","PRJNA1102327","SAMN41019219",293,"61.39 M","19.46 Mb","USDA-NVSL","SRX24318178","Illumina iSeq 100","24-009027-005-original-MTM","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009027-005-original-MTM","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-005-original-MTM","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752466.fasta.gz"
22,"SRR28752467","PRJNA1102327","SAMN41019218",500,"70.90 M","22.19 Mb","USDA-NVSL","SRX24318177","Illumina MiSeq","24-009027-004-original-repeat","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009027-004-original-repeat","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-004-original-repeat","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752467.fasta.gz"
23,"SRR28752468","PRJNA1102327","SAMN41019182",438,"64.56 M","37.48 Mb","USDA-NVSL","SRX24318176","Illumina MiSeq","24-007264-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-007264-001-original","SRP503016","Viral",2024,"USA","North America","USA","Chicken","24-007264-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752468.fasta.gz"
24,"SRR28752469","PRJNA1102327","SAMN41019217",501,"66.03 M","20.75 Mb","USDA-NVSL","SRX24318175","Illumina MiSeq","24-009027-003-original-repeat","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009027-003-original-repeat","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-003-original-repeat","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752469.fasta.gz"
25,"SRR28752470","PRJNA1102327","SAMN41019216",294,"81.96 M","25.69 Mb","USDA-NVSL","SRX24318174","Illumina iSeq 100","24-009027-002-v","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009027-002-v","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-002-v","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752470.fasta.gz"
26,"SRR28752471","PRJNA1102327","SAMN41019215",292,"44.03 M","13.48 Mb","USDA-NVSL","SRX24318173","Illumina iSeq 100","24-009027-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009027-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752471.fasta.gz"
27,"SRR28752472","PRJNA1102327","SAMN41019214",293,"69.09 M","21.69 Mb","USDA-NVSL","SRX24318172","Illumina iSeq 100","24-009027-001-v","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009027-001-v","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009027-001-v","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752472.fasta.gz"
28,"SRR28752473","PRJNA1102327","SAMN41019213",266,"48.99 M","16.32 Mb","USDA-NVSL","SRX24318171","Illumina iSeq 100","24-008850-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-008850-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cat","24-008850-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752473.fasta.gz"
29,"SRR28752474","PRJNA1102327","SAMN41019212",285,"41.93 M","13.74 Mb","USDA-NVSL","SRX24318170","Illumina iSeq 100","24-008850-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-008850-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cat","24-008850-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752474.fasta.gz"
30,"SRR28752475","PRJNA1102327","SAMN41019211",295,"56.18 M","16.74 Mb","USDA-NVSL","SRX24318169","Illumina iSeq 100","24-008767-001-v","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-008767-001-v","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-008767-001-v","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752475.fasta.gz"
31,"SRR28752476","PRJNA1102327","SAMN41019210",295,"60.59 M","18.15 Mb","USDA-NVSL","SRX24318168","Illumina iSeq 100","24-008766-001-v","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-008766-001-v","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-008766-001-v","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752476.fasta.gz"
32,"SRR28752477","PRJNA1102327","SAMN41019209",293,"193.54 M","61.91 Mb","USDA-NVSL","SRX24318167","Illumina iSeq 100","24-008766-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-008766-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-008766-001-original","H5N1","https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=run_browser&acc=SRR28752477&display=metadata"
33,"SRR28752478","PRJNA1102327","SAMN41019366",292,"85.49 M","25.75 Mb","USDA-NVSL","SRX24318166","Illumina iSeq 100","24-010193-003-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-010193-003-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010193-003-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752478.fasta.gz"
34,"SRR28752479","PRJNA1102327","SAMN41019365",292,"43.28 M","13.39 Mb","USDA-NVSL","SRX24318165","Illumina iSeq 100","24-010192-006-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010192-006-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010192-006-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752479.fasta.gz"
35,"SRR28752480","PRJNA1102327","SAMN41019364",293,"63.28 M","19.20 Mb","USDA-NVSL","SRX24318164","Illumina iSeq 100","24-010071-010-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-010-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-010-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752480.fasta.gz"
36,"SRR28752481","PRJNA1102327","SAMN41019363",292,"27.35 M","8.58 Mb","USDA-NVSL","SRX24318163","Illumina iSeq 100","24-010071-009-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-010071-009-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-009-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752481.fasta.gz"
37,"SRR28752482","PRJNA1102327","SAMN41019362",292,"67.22 M","20.52 Mb","USDA-NVSL","SRX24318162","Illumina iSeq 100","24-010071-008-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-008-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-008-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752482.fasta.gz"
38,"SRR28752483","PRJNA1102327","SAMN41019361",293,"88.50 M","26.88 Mb","USDA-NVSL","SRX24318161","Illumina iSeq 100","24-010071-007-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-007-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-007-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752483.fasta.gz"
39,"SRR28752484","PRJNA1102327","SAMN41019360",293,"80.66 M","24.42 Mb","USDA-NVSL","SRX24318160","Illumina iSeq 100","24-010071-006-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-006-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-006-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752484.fasta.gz"
40,"SRR28752485","PRJNA1102327","SAMN41019359",286,"20.81 M","6.38 Mb","USDA-NVSL","SRX24318159","Illumina iSeq 100","24-010071-005-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-005-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-005-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752485.fasta.gz"
41,"SRR28752486","PRJNA1102327","SAMN41019358",293,"83.13 M","25.13 Mb","USDA-NVSL","SRX24318158","Illumina iSeq 100","24-010071-003-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-003-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-003-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752486.fasta.gz"
42,"SRR28752487","PRJNA1102327","SAMN41019196",290,"134.30 M","40.88 Mb","USDA-NVSL","SRX24318157","Illumina iSeq 100","24-008749-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-008749-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-008749-001-original","H5N1","https://trace.ncbi.nlm.nih.gov/Traces/index.html?view=run_browser&acc=SRR28752487&display=metadata"
43,"SRR28752488","PRJNA1102327","SAMN41019357",292,"48.59 M","14.63 Mb","USDA-NVSL","SRX24318156","Illumina iSeq 100","24-010071-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752488.fasta.gz"
44,"SRR28752489","PRJNA1102327","SAMN41019356",289,"19.20 M","5.94 Mb","USDA-NVSL","SRX24318155","Illumina iSeq 100","24-010071-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-010071-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-010071-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752489.fasta.gz"
45,"SRR28752490","PRJNA1102327","SAMN41019355",291,"63.04 M","19.73 Mb","USDA-NVSL","SRX24318154","Illumina iSeq 100","24-009776-015-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009776-015-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009776-015-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752490.fasta.gz"
46,"SRR28752491","PRJNA1102327","SAMN41019354",290,"80.45 M","25.18 Mb","USDA-NVSL","SRX24318153","Illumina iSeq 100","24-009776-004-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009776-004-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009776-004-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752491.fasta.gz"
47,"SRR28752492","PRJNA1102327","SAMN41019353",289,"78.50 M","24.64 Mb","USDA-NVSL","SRX24318152","Illumina iSeq 100","24-009776-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009776-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009776-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752492.fasta.gz"
48,"SRR28752493","PRJNA1102327","SAMN41019352",290,"56.66 M","18.32 Mb","USDA-NVSL","SRX24318151","Illumina iSeq 100","24-009776-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009776-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009776-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752493.fasta.gz"
49,"SRR28752494","PRJNA1102327","SAMN41019351",502,"73.94 M","23.12 Mb","USDA-NVSL","SRX24318150","Illumina MiSeq","24-009775-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009775-001-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009775-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752494.fasta.gz"
50,"SRR28752495","PRJNA1102327","SAMN41019350",290,"63.85 M","19.90 Mb","USDA-NVSL","SRX24318149","Illumina iSeq 100","24-009654-004-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009654-004-original","SRP503016","Viral",2024,"USA","North America","USA","Chicken","24-009654-004-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752495.fasta.gz"
51,"SRR28752496","PRJNA1102327","SAMN41019349",291,"66.86 M","21.08 Mb","USDA-NVSL","SRX24318148","Illumina iSeq 100","24-009654-001-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009654-001-original","SRP503016","Viral",2024,"USA","North America","USA","Chicken","24-009654-001-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752496.fasta.gz"
52,"SRR28752497","PRJNA1102327","SAMN41019348",290,"58.49 M","17.83 Mb","USDA-NVSL","SRX24318147","Illumina iSeq 100","24-009586-010-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009586-010-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009586-010-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752497.fasta.gz"
53,"SRR28752498","PRJNA1102327","SAMN41019195",289,"109.11 M","33.52 Mb","USDA-NVSL","SRX24318146","Illumina iSeq 100","24-008660-002-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-008660-002-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-008660-002-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752498.fasta.gz"
54,"SRR28752499","PRJNA1102327","SAMN41019347",292,"72.26 M","22.00 Mb","USDA-NVSL","SRX24318145","Illumina iSeq 100","24-009586-009-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009586-009-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009586-009-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752499.fasta.gz"
55,"SRR28752500","PRJNA1102327","SAMN41019346",292,"66.81 M","20.54 Mb","USDA-NVSL","SRX24318144","Illumina iSeq 100","24-009586-008-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009586-008-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009586-008-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752500.fasta.gz"
56,"SRR28752501","PRJNA1102327","SAMN41019345",294,"17.50 M","5.37 Mb","USDA-NVSL","SRX24318143","Illumina iSeq 100","24-009586-007-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:13:00Z",1,"24-009586-007-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009586-007-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752501.fasta.gz"
57,"SRR28752502","PRJNA1102327","SAMN41019344",294,"12.14 M","3.76 Mb","USDA-NVSL","SRX24318142","Illumina iSeq 100","24-009586-006-original","PAIRED","RANDOM","VIRAL RNA","Influenza A virus","ILLUMINA",2024-04-20,"2024-04-2018:12:00Z",1,"24-009586-006-original","SRP503016","Viral",2024,"USA","North America","USA","Cattle","24-009586-006-original","H5N1","https://github.com/fbranda/avian-mamm/blob/main/sequences/SRR28752502.fasta.gz"
